area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,"Taoyuan Dist., Kaohsiung City",2 BHK,1027,1,2,1144
Super built-up  Area,Ready To Move,"Namaxia Dist., Kaohsiung City",2 BHK,1069,1,2,1170
Super built-up  Area,Ready To Move,"Maolin Dist., Kaohsiung City",2 BHK,1349,1,1,2553.2
Super built-up  Area,Ready To Move,"Qieding Dist., Kaohsiung City",2 BHK,1005,1,1,1300
Super built-up  Area,Ready To Move,"Magong City, Penghu County",2 BHK,1417,1,3,1950
Plot  Area,18-Jan,"Xiyu Township, Penghu County",3 Bedroom,1475,2,1,2548
Carpet  Area,Ready To Move,"Wulai Dist., New Taipei City",2 BHK,950,1,2,1222
Super built-up  Area,Ready To Move,"Qimei Township, Penghu County",4 BHK,2000,2,0,3120
Plot  Area,Ready To Move,"Baisha Township, Penghu County",3 Bedroom,880,2,1,3640
Super built-up  Area,Ready To Move,"Huxi Township, Penghu County",4 BHK,1863,2,2,2704
Super built-up  Area,Ready To Move,"Jinsha Township, Kinmen County",2 BHK,1010,1,1,767
Super built-up  Area,Ready To Move,"Jinhu Township, Kinmen County",3 BHK,1425,1,1,1820
Super built-up  Area,Ready To Move,"Jinning Township, Kinmen County",3 BHK,1450,2,0,2600
Super built-up  Area,Ready To Move,"Jincheng Township, Kinmen County",3 BHK,1847,2,2,2730
Super built-up  Area,Ready To Move,"Lieyu Township, Kinmen County",2 BHK,1100,1,3,1170
Super built-up  Area,20-Dec,"Wuqiu Township, Kinmen County",1 BHK,525,1,1,676
Super built-up  Area,Ready To Move,"Pingtung City, Pingtung County",3 BHK,1665,2,2,2470
Super built-up  Area,Ready To Move,"Sandimen Township, Pingtung County",4 BHK,1664,2,3,1690
Super built-up  Area,Ready To Move,"Wutai Township, Pingtung County",3 BHK,1850,2,3,3900
Super built-up  Area,Ready To Move,"Majia Township, Pingtung County",2 BHK,1438,1,3,2600
Super built-up  Area,Ready To Move,"Jiuru Township, Pingtung County",3 BHK,1560,2,3,2990
Super built-up  Area,18-Apr,"Ligang Township, Pingtung County",2 BHK,1350,1,1,1444.3
Super built-up  Area,Ready To Move,"Gaoshu Township, Pingtung County",3 BHK,1550,2,3,1742
Super built-up  Area,18-Apr,"Yanpu Township, Pingtung County",2 BHK,1140,1,2,1209
Plot  Area,Ready To Move,"Changzhi Township, Pingtung County",5 Bedroom,1200,2,2,4680
Super built-up  Area,18-Dec,"Linluo Township, Pingtung County",2 BHK,850,1,2,702
Super built-up  Area,Ready To Move,"Zhutian Township, Pingtung County",2 BHK,1280,1,2,1950
Built-up  Area,Ready To Move,"Neipu Township, Pingtung County",2 BHK,1170,1,2,1352
Super built-up  Area,Ready To Move,"Wandan Township, Pingtung County",2 BHK,1113,1,1,1326
Super built-up  Area,Ready To Move,"Chaozhou Township, Pingtung County",2 BHK,1385,1,1,2160.34
Super built-up  Area,18-Apr,"Taiwu Township, Pingtung County",2 BHK,1128,1,1,1690
Plot  Area,Ready To Move,"Laiyi Township, Pingtung County",2 Bedroom,1200,1,2,3328
Plot  Area,Ready To Move,"Wanluan Township, Pingtung County",4 Bedroom,1200,2,3,4290
Super built-up  Area,Ready To Move,"Kanding Township, Pingtung County",3 BHK,2390,2,2,10790
Plot  Area,Ready To Move,"Xinpi Township, Pingtung County",4 Bedroom,2400,2,1,10400
Super built-up  Area,Ready To Move,"Nanzhou Township, Pingtung County",3 BHK,1464,2,2,1456
Super built-up  Area,Ready To Move,"Linbian Township, Pingtung County",2 BHK,1200,1,2,1430
Super built-up  Area,Ready To Move,"Donggang Township, Pingtung County",2 BHK,1200,1,2,1352
Super built-up  Area,Ready To Move,"Liuqiu Township, Pingtung County",3 BHK,1150,1,1,1430
Built-up  Area,Ready To Move,"Jiadong Township, Pingtung County",3 BHK,1645,2,2,2470
Super built-up  Area,20-Mar,"Xinyuan Township, Pingtung County",2 BHK,1000,1,1,1742
Plot  Area,Ready To Move,"Fangliao Township, Pingtung County",4 Bedroom,2650,2,2,5148
Super built-up  Area,Ready To Move,"Fangshan Township, Pingtung County",2 BHK,1192,1,2,1924
Super built-up  Area,Ready To Move,"Chunri Township, Pingtung County",3 BHK,2135,2,2,5590
Super built-up  Area,19-Dec,"Shizi Township, Pingtung County",2 BHK,1173,1,1,1508
Built-up  Area,Ready To Move,"Checheng Township, Pingtung County",2 BHK,1020,1,2,1170
Super built-up  Area,Ready To Move,"Mudan Township, Pingtung County",4 BHK,3122,2,2,5980
Super built-up  Area,Ready To Move,"Hengchun Township, Pingtung County",3 BHK,1600,2,3,1664
Plot  Area,18-Mar,"Manzhou Township, Pingtung County",2 Bedroom,1200,1,0,2054
Carpet  Area,Ready To Move,"Taitung City, Taitung County",2 BHK,1230,1,3,1248
Super built-up  Area,Ready To Move,"Ludao Township, Taitung County",2 BHK,1250,1,2,1040
Super built-up  Area,Ready To Move,"Lanyu Township, Taitung County",2 BHK,1325,1,2,1976
Built-up  Area,Ready To Move,"Yanping Township, Taitung County",3 BHK,1850,2,1,3900
Super built-up  Area,21-Dec,"Beinan Township, Taitung County",1 BHK,525,,,559.78
Super built-up  Area,Ready To Move,"Luye Township, Taitung County",2 BHK,1200,1,2,1690
Plot  Area,Ready To Move,"Guanshan Township, Taitung County",3 Bedroom,1350,1,0,3640
Super built-up  Area,18-Jun,"Haiduan Township, Taitung County",3 BHK,1260,2,1,1283.36
Super built-up  Area,Ready To Move,"Chishang Township, Taitung County",3 BHK,1800,2,0,3900
Plot  Area,18-Dec,"Donghe Township, Taitung County",3 Bedroom,11,2,2,1924
Built-up  Area,Ready To Move,"Chenggong Township, Taitung County",2 BHK,1100,1,1,1124.5
Super built-up  Area,Ready To Move,"Changbin Township, Taitung County",2 BHK,1508,1,1,2002
Carpet  Area,Ready To Move,"Taimali Township, Taitung County",3 BHK,1592,2,2,1950
Super built-up  Area,Ready To Move,"Jinfeng Township, Taitung County",2 BHK,1388,1,3,1482
Super built-up  Area,18-May,"Dawu Township, Taitung County",1 BHK,630,1,1,737.1
Plot  Area,Ready To Move,"Daren Township, Taitung County",3 Bedroom,2000,2,2,9490
Super built-up  Area,Ready To Move,"Hualien City, Hualien County",3 BHK,1762,2,1,3250
Super built-up  Area,21-Dec,"Xincheng Township, Hualien County",2 BHK,950,1,2,1300
Super built-up  Area,Ready To Move,"Xiulin Township, Hualien County",4 BHK,3252,2,3,8710
Super built-up  Area,18-Aug,"Jianshi Township, Hsinchu County",2 BHK,1116,1,1,1300
Super built-up  Area,Ready To Move,"Shoufeng Township, Hualien County",2 BHK,1308,1,2,2315.04
Super built-up  Area,Ready To Move,"Fenglin Township, Hualien County",3 BHK,1200,2,0,2340
Plot  Area,Ready To Move,"Guangfu Township, Hualien County",4 Bedroom,1500,2,2,5980
Built-up  Area,Ready To Move,"Fengbin Township, Hualien County",1 BHK,500,1,1,481
Super built-up  Area,Ready To Move,"Ruisui Township, Hualien County",2 BHK,1075,1,1,1352
Super built-up  Area,18-Mar,"Wanrong Township, Hualien County",1 BHK,530,1,0,303.16
Built-up  Area,Ready To Move,"Yuli Township, Hualien County",2 BHK,1205,1,3,1716
Super built-up  Area,Ready To Move,"Zhuoxi Township, Hualien County",2 BHK,1075,1,2,1560
Built-up  Area,Ready To Move,"Fuli Township, Hualien County",2 BHK,930,1,2,1014
Super built-up  Area,Ready To Move,"Toufen City, Miaoli County",2 BHK,1380,1,1,1560
Super built-up  Area,Ready To Move,"Yuanlin City, Changhua County",4 BHK,2483,2,2,5512
Built-up  Area,Ready To Move,"Zhongzheng Dist., Taipei City",2 BHK,1166,1,2,1430
Super built-up  Area,Ready To Move,"Datong Dist., Taipei City",2 BHK,1050,1,1,1690
Super built-up  Area,19-Mar,"Zhongshan Dist., Taipei City",3 BHK,2023.71,2,2,7150
Super built-up  Area,Ready To Move,"Songshan Dist., Taipei City",2 BHK,1200,1,2,1216.8
Super built-up  Area,Ready To Move,"Guishan Dist., Taoyuan City",3 BHK,1600,1,1,2808
Super built-up  Area,Ready To Move,"Wanhua Dist., Taipei City",3 BHK,1935,2,2,2860
Super built-up  Area,18-May,"Xinyi Dist., Taipei City",1 BHK,451,1,0,777.4
Super built-up  Area,Ready To Move,"Shilin Dist., Taipei City",3 BHK,1800,2,2,2470
Super built-up  Area,18-May,"Beitou Dist., Taipei City",3 BHK,1400,2,0,2002
Super built-up  Area,Ready To Move,"Neihu Dist., Taipei City",3 BHK,1801,2,2,2990
Built-up  Area,Ready To Move,"Nangang Dist., Taipei City",2 BHK,1451,1,,2340
Plot  Area,19-Jan,"Wenshan Dist., Taipei City",2 Bedroom,1200,1,1,936
Super built-up  Area,Ready To Move,"Da’an Dist., Taipei Ci",2 BHK,1160,1,2,1144
Built-up  Area,Ready To Move,"Xinyi Dist., Keelung City",2 BHK,1000,1,1,650
Super built-up  Area,Ready To Move,"Zhongzheng Dist., Keelung City",2 BHK,950,1,1,1040
Built-up  Area,20-Dec,"Zhongshan Dist., Keelung City",3 BHK,1629,2,2,2054
Built-up  Area,Ready To Move,"Anle Dist., Keelung City",3 BHK,1580,1,0,3484
Super built-up  Area,21-Jun,"Nuannuan Dist., Keelung City",3 BHK,1826,2,2,3146
Built-up  Area,Ready To Move,"Qidu Dist., Keelung City",2 BHK,1245,1,1,2444
Super built-up  Area,Ready To Move,"Wanli Dist., New Taipei City",2 BHK,1145,1,2,1190.54
Super built-up  Area,Ready To Move,"Jinshan Dist., New Taipei City",2 BHK,825,1,1,858
Super built-up  Area,18-Aug,"Nangan Township, Lienchiang County",3 BHK,1693,2,3,2808
Super built-up  Area,Ready To Move,"Beigan Township, Lienchiang County",2 BHK,1113.27,1,2,1378
Built-up  Area,Ready To Move,"Juguang Township, Lienchiang County",2 BHK,1460,1,1,1508
Built-up  Area,Ready To Move,"Dongyin Township, Lienchiang County",2 BHK,1050,1,1,832
Built-up  Area,Ready To Move,"Banqiao Dist., New Taipei City",2 BHK,1260,1,2,1430
Super built-up  Area,Ready To Move,"Xizhi Dist., New Taipei City",6 BHK,700,2,,3120
Built-up  Area,Ready To Move,"Shenkeng Dist., New Taipei City",2 BHK,1656,1,1,3120
Super built-up  Area,Ready To Move,"Shiding Dist., New Taipei City",3 BHK,1208,2,1,1170
Super built-up  Area,Ready To Move,"Ruifang Dist., New Taipei City",3 BHK,1910,2,2,4186
Super built-up  Area,Ready To Move,"Pingxi Dist., New Taipei City",4 BHK,3252,2,1,5980
Plot  Area,Ready To Move,"Shuangxi Dist., New Taipei City",2 Bedroom,1200,1,1,1690
Super built-up  Area,Ready To Move,"Gongliao Dist., New Taipei City",4 BHK,1200,2,1,4550
Super built-up  Area,Ready To Move,"Xindian Dist., New Taipei City",2 BHK,1175,1,1,2132
Plot  Area,Ready To Move,"Pinglin Dist., New Taipei City",2 Bedroom,1000,1,0,4290
Plot  Area,Ready To Move,"Wulai Dist., New Taipei City",4 Bedroom,1200,1,0,3250
Super built-up  Area,Ready To Move,"Yonghe Dist., New Taipei City",3 BHK,2390,2,2,10660
Super built-up  Area,19-Jan,"Zhonghe Dist., New Taipei City",7 BHK,12000,2,3,57200
Plot  Area,Ready To Move,"Tucheng Dist., New Taipei City",2 Bedroom,550,1,1,1612
Super built-up  Area,Ready To Move,"Sanxia Dist., New Taipei City",1 BHK,34.46Sqt.Meter,1,0,481
Super built-up  Area,Ready To Move,"Shulin Dist., New Taipei City",2 BHK,1185,1,,988
Super built-up  Area,Ready To Move,"Yingge Dist., New Taipei City",2 BHK,750,1,1,988
Plot  Area,Ready To Move,"Sanchong Dist., New Taipei City",6 Bedroom,1200,3,3,6500
Super built-up  Area,Ready To Move,"Xinzhuang Dist., New Taipei City",3 BHK,1550,2,3,1677
Built-up  Area,Ready To Move,"Taishan Dist., New Taipei City",3 BHK,1760,2,2,2288
Super built-up  Area,Ready To Move,"Linkou Dist., New Taipei City",2 BHK,1125,1,2,1612
Plot  Area,Ready To Move,"Luzhou Dist., New Taipei City",3 Bedroom,1350,2,2,3900
Plot  Area,17-Dec,"Wugu Dist., New Taipei City",2 Bedroom,1000,1,1,1430
Built-up  Area,18-Aug,"Bali Dist., New Taipei City",2 BHK,1090,1,2,818.48
Plot  Area,Ready To Move,"Tamsui Dist., New Taipei City",2 Bedroom,1200,1,0,1560
Super built-up  Area,Ready To Move,"Sanzhi Dist., New Taipei City",3 BHK,1991,2,2,2678
Super built-up  Area,18-Oct,"Shimen Dist., New Taipei City",2 BHK,1060,1,1,689
Super built-up  Area,Ready To Move,"Yilan City, Yilan County",2 BHK,1105,1,1,1950
Built-up  Area,Ready To Move,"Toucheng Township, Yilan County",2 BHK,985,1,2,1742
Plot  Area,Ready To Move,"Jiaoxi Township, Yilan County",6 Bedroom,1533,2,3,2210
Super built-up  Area,17-Jul,"Zhuangwei Township, Yilan County",3 BHK,1590,2,2,2054
Super built-up  Area,Ready To Move,"Yuanshan Township, Yilan County",2 BHK,1120,1,2,1430
Super built-up  Area,Ready To Move,"Luodong Township, Yilan County",2 BHK,1069,1,1,1430
Super built-up  Area,Ready To Move,"Sanxing Township, Yilan County",3 BHK,1933,2,2,3640
Built-up  Area,16-Mar,"Datong Township, Yilan County",2 BHK,1194,1,0,1794
Super built-up  Area,Ready To Move,"Wujie Township, Yilan County",2 BHK,1150,1,3,1794
Super built-up  Area,Ready To Move,"Dongshan Township, Yilan County",2 BHK,1240,1,2,1225.12
Super built-up  Area,Ready To Move,"Shengang Dist., Taichung City",2 BHK,1419,1,2,1250.6
Plot  Area,Ready To Move,"Waipu Dist., Taichung City",8 Bedroom,1200,3,,6500
Super built-up  Area,Ready To Move,"Tamsui Dist., New Taipei City",3 BHK,2150,2,,6240
Super built-up  Area,Ready To Move,"East Dist., Hsinchu City",3 BHK,1450,2,2,1430
Super built-up  Area,18-Jul,"North Dist., Hsinchu City",3 BHK,1630,2,2,1775.54
Super built-up  Area,Ready To Move,"Xiangshan Dist., Hsinchu City",2 BHK,708,1,1,1040
Plot  Area,Ready To Move,"Zhubei City, Hsinchu County",3 Bedroom,1000,2,3,2860
Plot  Area,Ready To Move,"Hukou Township, Hsinchu County",4 Bedroom,11890,2,3,18200
Super built-up  Area,Ready To Move,"Xinfeng Township, Hsinchu County",2 BHK,1250,1,1,1976
Super built-up  Area,Ready To Move,"Xinpu Township, Hsinchu County",3 BHK,1400,1,1,2470
Super built-up  Area,Ready To Move,"Guanxi Township, Hsinchu County",3 BHK,1670,1,3,1482
Super built-up  Area,Ready To Move,"Qionglin Township, Hsinchu County",3 BHK,1750,2,2,2600
Super built-up  Area,Ready To Move,"Baoshan Township, Hsinchu County",2 BHK,1404,1,1,1846
Super built-up  Area,Ready To Move,"Zhudong Township, Hsinchu County",3 BHK,1715,1,2,2470
Built-up  Area,18-Apr,"Wufeng Township, Hsinchu County",1 BHK,630,1,1,900.9
Super built-up  Area,Ready To Move,"Hengshan Township, Hsinchu County",3 BHK,1752.12,2,2,3510
Super built-up  Area,Ready To Move,"Jianshi Township, Hsinchu County",3 BHK,1650,2,2,2028
Super built-up  Area,Ready To Move,"Beipu Township, Hsinchu County",2 BHK,1295,1,1,1442.22
Plot  Area,Ready To Move,"Emei Township, Hsinchu County",3 Bedroom,1800,2,2,6552
Super built-up  Area,18-Sep,"Zhongli Dist., Taoyuan City",2 BHK,1346,1,1,1924.78
Plot  Area,Ready To Move,"Pingzhen Dist., Taoyuan City",4 Bedroom,1200,2,2,5200
Super built-up  Area,Ready To Move,"Longtan Dist., Taoyuan City",2 BHK,1150,1,2,1430
Built-up  Area,Ready To Move,"Yangmei Dist., Taoyuan City City",4 Bedroom,3309,2,3,8450
Super built-up  Area,18-May,"Xinwu Dist., Taoyuan City",3 BHK,1190,1,2,789.1
Super built-up  Area,Ready To Move,"Guanyin Dist., Taoyuan City",3 BHK,1620,2,2,2548
Super built-up  Area,18-Apr,"Taoyuan Dist., Taoyuan City",2 BHK,950,1,1,1220.96
Super built-up  Area,Ready To Move,"Guishan Dist., Taoyuan City",11 BHK,5000,6,3,9360
Super built-up  Area,Ready To Move,"Bade Dist., Taoyuan City",3 BHK,2450,2,0,3120
Super built-up  Area,18-May,"Daxi Dist., Taoyuan City",3 BHK,1220,1,1,915.98
Super built-up  Area,Ready To Move,"Fuxing Dist., Taoyuan City",2 BHK,850,1,1,780
Built-up  Area,Ready To Move,"Dayuan Dist., Taoyuan City",2 BHK,1020,1,2,1638
Built-up  Area,Ready To Move,"Luzhu Dist., Taoyuan City",2 BHK,1100,1,2,1300
Super built-up  Area,Ready To Move,"Zhunan Township, Miaoli County",2 BHK,1150,1,2,3276
Super built-up  Area,18-Dec,"Sanwan Township, Miaoli County",3 BHK,1760,1,2,3380
Super built-up  Area,Ready To Move,"Nanzhuang Township, Miaoli County",3 BHK,1800,2,3,2860
Super built-up  Area,Ready To Move,"Shitan Township, Miaoli County",2 BHK,1070,1,1,1404
Plot  Area,Ready To Move,"Houlong Township, Miaoli County",4 Bedroom,1500,2,2,5720
Plot  Area,Ready To Move,"Tongxiao Township, Miaoli County",2 Bedroom,1440,1,0,2470
Super built-up  Area,Ready To Move,"Yuanli Township, Miaoli County",2 BHK,900,1,1,1040
Built-up  Area,Ready To Move,"Miaoli City, Miaoli County",4 BHK,1200,2,1,5980
Super built-up  Area,18-May,"Zaoqiao Township, Miaoli County",2 BHK,1130,1,1,1096.16
Super built-up  Area,Ready To Move,"Touwu Township, Miaoli County",2 BHK,1320,1,1,4290
Super built-up  Area,19-Jun,"Gongguan Township, Miaoli County",2 BHK,1270,1,1,2548
Built-up  Area,Ready To Move,"Dahu Township, Miaoli County",2 BHK,1200,1,1,1612
Super built-up  Area,Ready To Move,"Xihu Township, Miaoli County",4 BHK,4800,2,,6110
Super built-up  Area,Ready To Move,"Tongluo Township, Miaoli County",2 BHK,1200,1,1,1924
Super built-up  Area,Ready To Move,"Sanyi Township, Miaoli County",2 BHK,929,1,0,1304.42
Built-up  Area,Ready To Move,"Xihu Township, Miaoli County",4 BHK,1150,2,2,6760
Plot  Area,Ready To Move,"Zhuolan Township, Miaoli County",4 Bedroom,1125,2,3,4680
Plot  Area,Ready To Move,"Central Dist., Taichung City",5 Bedroom,500,2,2,1690
Plot  Area,Ready To Move,"East Dist., Taichung City",5 Bedroom,1200,2,2,4940
Super built-up  Area,Ready To Move,"South Dist., Taichung City",3 BHK,1464,2,2,1456
Super built-up  Area,Ready To Move,"West Dist., Taichung City",4 BHK,3600,2,3,10400
Plot  Area,Ready To Move,"North Dist., Taichung City",4 Bedroom,2000,2,2,2574
Super built-up  Area,Ready To Move,"Beitun Dist., Taichung City",2 BHK,1208,1,1,1274
Super built-up  Area,Ready To Move,"Xitun Dist., Taichung City",2 BHK,1130,1,2,1560
Super built-up  Area,Ready To Move,"Nantun Dist., Taichung City",3 BHK,1753,2,2,3120
Super built-up  Area,Ready To Move,"Taiping Dist., Taichung City",5 BHK,4500,3,3,8762
Plot  Area,Ready To Move,"Dali Dist., Taichung City",3 Bedroom,600,2,2,1508
Super built-up  Area,22-Jun,"Wufeng Dist., Taichung City",2 BHK,1196,1,2,2454.92
Built-up  Area,Ready To Move,"Wuri Dist., Taichung City",2 BHK,1150,2,3,1365
Super built-up  Area,18-Apr,"Fengyuan Dist., Taichung City",2 BHK,1128,1,1,1638
Super built-up  Area,Ready To Move,"Houli Dist., Taichung City",2 BHK,1000,1,1,1378
Super built-up  Area,Ready To Move,"Shigang Dist., Taichung City",2 BHK,1035,1,1,1170
Built-up  Area,Ready To Move,"Dongshi Dist., Taichung City",2 BHK,950,1,1,832
Super built-up  Area,Ready To Move,"Heping Dist., Taichung City",3 BHK,1075,1,1,936
Super built-up  Area,Ready To Move,"Xinshe Dist., Taichung City",2 BHK,1040,1,1,1261
Plot  Area,17-Oct,"Tanzi Dist., Taichung City",2 Bedroom,720,1,1,1170
Super built-up  Area,Ready To Move,"Daya Dist., Taichung City",3 BHK,1511,2,1,2470
Built-up  Area,Ready To Move,"Shengang Dist., Taichung City",3 BHK,1300,2,1,1508
Super built-up  Area,19-Dec,"Dadu Dist., Taichung City",3 BHK,1545,2,1,1787.5
Built-up  Area,Ready To Move,"Shalu Dist., Taichung City",1 BHK,375,1,0,676
Super built-up  Area,Ready To Move,"Longjing Dist., Taichung City",2 BHK,1062,1,3,988
Super built-up  Area,Ready To Move,"Wuqi Dist., Taichung City",2 BHK,1115,1,1,1040
Super built-up  Area,Ready To Move,"Qingshui Dist., Taichung City",2 BHK,1000,1,1,910
Super built-up  Area,17-May,"Dajia Dist., Taichung City",2 BHK,883,1,1,1170
Super built-up  Area,19-Apr,"Waipu Dist., Taichung City",2 BHK,1195,1,1,1820
Plot  Area,Ready To Move,"Tanzi Dist., Taichung City",4 Bedroom,1200,2,1,4290
Built-up  Area,Ready To Move,"Changhua City, Changhua County",1 Bedroom,700,1,0,1066
Super built-up  Area,Ready To Move,"Fenyuan Township, Changhua County",2 BHK,1246,1,1,1742
Plot  Area,Ready To Move,"Huatan Township, Changhua County",4 Bedroom,660,2,2,2340
Plot  Area,Ready To Move,"Xiushui Township, Changhua County",4 Bedroom,8500,2,2,3770
Super built-up  Area,Ready To Move,"Lukang Township, Changhua County",4 BHK,1600,2,1,2080
Super built-up  Area,18-Dec,"Fuxing Township, Changhua County",4 BHK,2805,2,3,4004
Super built-up  Area,Ready To Move,"Xianxi Township, Changhua County",3 BHK,1584,2,,1690
Plot  Area,Ready To Move,"Hemei Township, Changhua County",4 Bedroom,3000,2,1,7150
Built-up  Area,Ready To Move,"Shengang Township, Changhua County",3 BHK,1175,1,2,1248
Built-up  Area,19-Jul,"Shetou Township, Changhua County",3 BHK,1595,2,2,2990
Super built-up  Area,Ready To Move,"Yongjing Township, Changhua County",2 BHK,1353,1,2,2860
Super built-up  Area,18-Apr,"Puxin Township, Changhua County",3 BHK,1599,2,2,3250
Super built-up  Area,Ready To Move,"Xihu Township, Changhua County",2 BHK,1150,1,1,1820
Super built-up  Area,17-Dec,"Dacun Township, Changhua County",4 BHK,5230,2,1,12090
Super built-up  Area,Ready To Move,"Puyan Township, Changhua County",2 BHK,1155,1,2,1111.24
Built-up  Area,Ready To Move,"Tianzhong Township, Changhua County",1 BHK,1200,1,0,2210
Super built-up  Area,18-Jul,"Beidou Township, Changhua County",2 BHK,1000,1,1,650
Super built-up  Area,Ready To Move,"Tianwei Township, Changhua County",4 BHK,3000,2,,3120
Built-up  Area,Ready To Move,"Pitou Township, Changhua County",3 BHK,1867,2,1,4160
